Rule_ID,Dataset,Column,Rule_Type,Valid_Condition,Action,Auto_Correct_Allowed,Severity,Reason,Rule_Source,Evidence
DQ-0108,Operator_Activities,Activity_ID,Uniqueness,Identifier should be unique at the dataset grain,Flag duplicate identifiers and retain raw rows for review,False,Critical,Primary identifier duplication breaks trusted row grain,Generated from datasheet-column-level.csv,Row_Count=46; Unique_Count=45; Duplicate_Value_Count=2
DQ-0109,Operator_Activities,Activity_ID,Validity,Identifier should match ACT followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=45
DQ-0110,Operator_Activities,Activity_Start,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=01/07/2026 11:00 | 07/01/2026 04:00 PM | 2026/07/01 21:00
DQ-0111,Operator_Activities,Activity_Start|Activity_End,Temporal integrity,Activity_End must be after Activity_Start,Flag temporal contradictions for review,False,Critical,"Timestamp ordering affects duration, validity, or workflow status",Generated from recognised timestamp column pairs,"Detected columns: Activity_Start, Activity_End"
DQ-0112,Operator_Activities,Activity_Type,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=5; Sample_Values=Hauling | Break | hualing
DQ-0113,Operator_Activities,Comment,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Low,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=6; Missing_Pct=13.04
DQ-0114,Operator_Activities,Contractor_Group,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=Contractor-B | Contractor-A | Contractor-C
DQ-0115,Operator_Activities,Email,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0116,Operator_Activities,Email,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=8; Sample_Values=aisha.naidoo@example.test | thabo.dlamini@example.test | mia.jacobs@example.test
DQ-0117,Operator_Activities,Entire row,Uniqueness,Exact duplicate rows should not appear in the trusted layer,Flag duplicate rows and exclude later duplicates only after logging,False,High,Exact duplicate rows can inflate operational counts,Generated from datasheet_Highlevel_inventory.csv,Duplicate_Rows_Detected=1
DQ-0118,Operator_Activities,Equipment_Name,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0119,Operator_Activities,Home_Zone,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0120,Operator_Activities,Home_Zone,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=4; Sample_Values=Zone-West | Zone-East | Zone-South
DQ-0121,Operator_Activities,"Home_Zone, Contractor_Group",Data dictionary guidance,May identify or disadvantage groups,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,High,Indirect or proxy attributes,Generated from data_dictionary.csv,Sensitivity=Potentially sensitive
DQ-0122,Operator_Activities,Mobile_Number,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0123,Operator_Activities,Mobile_Number,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=8; Sample_Values=082-555-0102 | 0835550103 | 060 555 0104
DQ-0124,Operator_Activities,Operator_ID,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,High,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=1; Missing_Pct=2.17
DQ-0125,Operator_Activities,Operator_ID,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0126,Operator_Activities,Operator_ID,Validity,Identifier should match OP followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=8
DQ-0127,Operator_Activities,Operator_Name,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0128,Operator_Activities,Operator_Name,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=8; Sample_Values=Aisha Naidoo | Thabo Dlamini | Mia Jacobs
DQ-0129,Operator_Activities,"Operator_Name, Email, Mobile_Number",Data dictionary guidance,Use only if necessary for stated purpose,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,High,Direct identifiers,Generated from data_dictionary.csv,Sensitivity=Personal
DQ-0130,Operator_Activities,Quantity,Plausibility,Extreme numeric outliers should be reviewed before trusted use,Flag statistical outliers for review,False,High,Profile max is more than ten times the upper quartile,Generated from Operator_Activities_numeric_profile.csv,75%=9.5; max=450.0
DQ-0131,Operator_Activities,Quantity / Quantity_Unit,Data dictionary guidance,Do not combine mixed units,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,Medium,Recorded output quantity,Generated from data_dictionary.csv,Sensitivity=Internal
DQ-0132,Operator_Activities,Quantity_Unit,Consistency,Unit values must be canonical before numeric comparison,Standardise supported units and log each conversion,True,High,Unit columns control whether numeric values are comparable,Generated from datasheet-column-level.csv,Unique_Count=2; Sample_Values=loads | loads | loads
DQ-0133,Operator_Activities,Supervisor_ID,Validity,Identifier should match SUP followed by two digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=3
DQ-0134,Safety_Observations,Attachment_Name,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Medium,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=15; Missing_Pct=32.61
DQ-0135,Safety_Observations,Attachment_Name,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0136,Safety_Observations,Attachment_Name,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=2; Sample_Values=obs-note.pdf | obs-note.pdf | photo_01.jpg
DQ-0137,Safety_Observations,Category,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=7; Sample_Values=Saftey | PPE | Vehicle Interaction
DQ-0138,Safety_Observations,Closed_Date,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,High,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=32; Missing_Pct=69.57
DQ-0139,Safety_Observations,Closed_Date,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=07/05/2026 03:00 AM | 07/01/2026 12:00 PM | 2026-07-05 21:00:00
DQ-0140,Safety_Observations,Description,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Medium,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=10; Missing_Pct=21.74
DQ-0141,Safety_Observations,Description,Data dictionary guidance,May contain identifiers or allegations,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,High,Free-text safety narrative,Generated from data_dictionary.csv,Sensitivity=Potentially sensitive
DQ-0142,Safety_Observations,Entire row,Uniqueness,Exact duplicate rows should not appear in the trusted layer,Flag duplicate rows and exclude later duplicates only after logging,False,High,Exact duplicate rows can inflate operational counts,Generated from datasheet_Highlevel_inventory.csv,Duplicate_Rows_Detected=1
DQ-0143,Safety_Observations,Equipment_Name,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0144,Safety_Observations,Immediate_Action,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Low,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=6; Missing_Pct=13.04
DQ-0145,Safety_Observations,Immediate_Action,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=Coaching provided | Coaching provided | Logged for review
DQ-0146,Safety_Observations,Location,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=South Pit | Workshop | South Pit
DQ-0147,Safety_Observations,Observation_Date,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=01/07/2026 15:00 | 07/02/2026 12:00 AM | 2026/07/02 09:00
DQ-0148,Safety_Observations,Observation_Date|Closed_Date,Temporal integrity,Closed_Date must not be before Observation_Date when populated,Flag temporal contradictions for review,False,Critical,"Timestamp ordering affects duration, validity, or workflow status",Generated from recognised timestamp column pairs,"Detected columns: Observation_Date, Closed_Date"
DQ-0149,Safety_Observations,Observation_ID,Completeness,Primary identifier must be populated,Flag missing primary identifiers as exceptions,False,Critical,Blank primary identifiers break traceability,Generated from datasheet-column-level.csv,Missing_Count=0
DQ-0150,Safety_Observations,Observation_ID,Uniqueness,Identifier should be unique at the dataset grain,Flag duplicate identifiers and retain raw rows for review,False,Critical,Primary identifier duplication breaks trusted row grain,Generated from datasheet-column-level.csv,Row_Count=46; Unique_Count=45; Duplicate_Value_Count=2
DQ-0151,Safety_Observations,Observation_ID,Validity,Identifier should match SAF followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=45
DQ-0152,Safety_Observations,Observed_Person_ID,Data dictionary guidance,Observation is not proof of fault,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,High,Person associated with observation,Generated from data_dictionary.csv,Sensitivity=Personal
DQ-0153,Safety_Observations,Observed_Person_ID,Validity,Identifier should match a documented identifier pattern,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=8
DQ-0154,Safety_Observations,Reporter_ID,Validity,Identifier should match OP or SUP followed by digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=3
DQ-0155,Safety_Observations,Severity,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=5; Sample_Values=low | Low | Low
DQ-0156,Safety_Observations,Status,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=In Review | In Review | In Review
DQ-0157,Shift_Performance,Actual_Hours,Plausibility,Hour values should be non-negative and plausible for the operating window,Flag impossible or extreme hour values,False,High,Hour-based measures directly affect availability and downtime analysis,Generated from Shift_Performance_numeric_profile.csv,min=8.0; max=26.0
DQ-0158,Shift_Performance,Actual_Hours,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=9 | 9 | 9
DQ-0159,Shift_Performance,Availability_Pct,Plausibility,Percentage fields should be within the documented percentage scale,Flag values outside the expected range before analysis,False,High,Percentage metrics must be bounded before performance reporting,Generated from Shift_Performance_numeric_profile.csv,min=0.7; max=1.35
DQ-0160,Shift_Performance,"Availability_Pct, Utilisation_Pct",Data dictionary guidance,Expected range 0% to 100%,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,Medium,Operational rates,Generated from data_dictionary.csv,Sensitivity=Internal
DQ-0161,Shift_Performance,Crew,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=Charlie | Alpha | Bravo
DQ-0162,Shift_Performance,Entire row,Uniqueness,Exact duplicate rows should not appear in the trusted layer,Flag duplicate rows and exclude later duplicates only after logging,False,High,Exact duplicate rows can inflate operational counts,Generated from datasheet_Highlevel_inventory.csv,Duplicate_Rows_Detected=1
DQ-0163,Shift_Performance,Equipment_Name,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0164,Shift_Performance,Fuel_Unit,Consistency,Unit values must be canonical before numeric comparison,Standardise supported units and log each conversion,True,High,Unit columns control whether numeric values are comparable,Generated from datasheet-column-level.csv,Unique_Count=2; Sample_Values=litres | litres | litres
DQ-0165,Shift_Performance,Fuel_Used / Fuel_Unit,Data dictionary guidance,Normalise units,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,Medium,Shift fuel usage,Generated from data_dictionary.csv,Sensitivity=Internal
DQ-0166,Shift_Performance,Loads,Plausibility,Numeric value should not be negative unless the data dictionary permits it,Flag negative values for review,False,High,Numeric profile detected values below zero,Generated from Shift_Performance_numeric_profile.csv,min=-3.0
DQ-0167,Shift_Performance,Operator_ID,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0168,Shift_Performance,Operator_ID,Validity,Identifier should match OP followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=8
DQ-0169,Shift_Performance,Scheduled_Hours,Plausibility,Hour values should be non-negative and plausible for the operating window,Flag impossible or extreme hour values,False,Medium,Hour-based measures directly affect availability and downtime analysis,Generated from Shift_Performance_numeric_profile.csv,min=12.0; max=12.0
DQ-0170,Shift_Performance,Shift_Code,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=2; Sample_Values=Day | Night | Day
DQ-0171,Shift_Performance,Shift_Date,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=01/07/2026 | 07/01/2026 | 2026/07/02
DQ-0172,Shift_Performance,Shift_Record_ID,Completeness,Primary identifier must be populated,Flag missing primary identifiers as exceptions,False,Critical,Blank primary identifiers break traceability,Generated from datasheet-column-level.csv,Missing_Count=0
DQ-0173,Shift_Performance,Shift_Record_ID,Uniqueness,Identifier should be unique at the dataset grain,Flag duplicate identifiers and retain raw rows for review,False,Critical,Primary identifier duplication breaks trusted row grain,Generated from datasheet-column-level.csv,Row_Count=46; Unique_Count=45; Duplicate_Value_Count=2
DQ-0174,Shift_Performance,Shift_Record_ID,Validity,Identifier should match SHF followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=45
DQ-0175,Shift_Performance,Supervisor_Comment,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Low,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=8; Missing_Pct=17.39
DQ-0176,Shift_Performance,Utilisation_Pct,Plausibility,Percentage fields should be within the documented percentage scale,Flag values outside the expected range before analysis,False,High,Percentage metrics must be bounded before performance reporting,Generated from Shift_Performance_numeric_profile.csv,min=0.62; max=0.93
DQ-0177,Training_Records,Comment,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Medium,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=15; Missing_Pct=32.61
DQ-0178,Training_Records,Completion_Date,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=16/01/2025 | 01/31/2025 | 2025/02/15
DQ-0179,Training_Records,Completion_Date|Expiry_Date,Temporal integrity,Expiry_Date must be after Completion_Date,Flag temporal contradictions for review,False,Critical,"Timestamp ordering affects duration, validity, or workflow status",Generated from recognised timestamp column pairs,"Detected columns: Completion_Date, Expiry_Date"
DQ-0180,Training_Records,Course_Code,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=4; Sample_Values=SAFE01 | EQP02 | EQP02
DQ-0181,Training_Records,Course_Name,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0182,Training_Records,Course_Name,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=Operational Safety | Mobile Equipment | Mobile Equipment
DQ-0183,Training_Records,Entire row,Uniqueness,Exact duplicate rows should not appear in the trusted layer,Flag duplicate rows and exclude later duplicates only after logging,False,High,Exact duplicate rows can inflate operational counts,Generated from datasheet_Highlevel_inventory.csv,Duplicate_Rows_Detected=1
DQ-0184,Training_Records,Expiry_Date,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=01/16/2027 | 2027/01/31 | 2027-02-15
DQ-0185,Training_Records,Home_Zone,Data dictionary guidance,May indirectly identify individuals,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,High,Geographic proxy,Generated from data_dictionary.csv,Sensitivity=Potentially sensitive
DQ-0186,Training_Records,Home_Zone,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0187,Training_Records,Home_Zone,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=4; Sample_Values=Zone-West | Zone-East | Zone-South
DQ-0188,Training_Records,Medical_Fitness_Code,Data dictionary guidance,Do not use without appropriate purpose and authority,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,Critical,Restricted fitness code,Generated from data_dictionary.csv,Sensitivity=Sensitive personal
DQ-0189,Training_Records,Medical_Fitness_Code,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0190,Training_Records,Medical_Fitness_Code,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=MF-R | MF-B | MF-R
DQ-0191,Training_Records,Operator_ID,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0192,Training_Records,Operator_ID,Validity,Identifier should match OP followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=8
DQ-0193,Training_Records,Operator_Name,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0194,Training_Records,Operator_Name,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=8; Sample_Values=Aisha Naidoo | Thabo Dlamini | Mia Jacobs
DQ-0195,Training_Records,Provider,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=Provider A | Provider B | Provider A
DQ-0196,Training_Records,Result,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=2; Sample_Values=Pass | Pass | Fail
DQ-0197,Training_Records,Score,Plausibility,Scores should be between 0 and 100,Flag scores outside 0 to 100,False,High,Training score profile indicates values may exceed expected score range,Generated from Training_Records_numeric_profile.csv,min=42.0; max=145.0
DQ-0198,Training_Records,Training_Record_ID,Completeness,Primary identifier must be populated,Flag missing primary identifiers as exceptions,False,Critical,Blank primary identifiers break traceability,Generated from datasheet-column-level.csv,Missing_Count=0
DQ-0199,Training_Records,Training_Record_ID,Uniqueness,Identifier should be unique at the dataset grain,Flag duplicate identifiers and retain raw rows for review,False,Critical,Primary identifier duplication breaks trusted row grain,Generated from datasheet-column-level.csv,Row_Count=46; Unique_Count=45; Duplicate_Value_Count=2
DQ-0200,Training_Records,Training_Record_ID,Validity,Identifier should match TRN followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=45
